emp_no,dept_no,dept_name,title,birth_date,first_name,last_name,hire_date,from_date,to_date
10001,d005,Development,Senior Engineer,1953-09-02,Georgi,Facello,1986-06-26,1986-06-26,9999-01-01
10004,d004,Production,Senior Engineer,1954-05-01,Chirstian,Koblick,1986-12-01,1995-12-01,9999-01-01
10009,d006,Quality Management,Senior Engineer,1952-04-19,Sumant,Peac,1985-02-18,1995-02-18,9999-01-01
10018,d004,Production,Senior Engineer,1954-06-19,Kazuhide,Peha,1987-04-03,1995-04-03,9999-01-01
10035,d004,Production,Senior Engineer,1953-02-08,Alain,Chappelet,1988-09-05,1996-09-05,9999-01-01
10053,d007,Sales,Senior Staff,1954-09-13,Sanjiv,Zschoche,1986-02-04,1994-11-13,9999-01-01
10058,d001,Marketing,Senior Staff,1954-10-01,Berhard,McFarlin,1987-04-13,1988-04-25,9999-01-01
10066,d005,Development,Senior Engineer,1952-11-13,Kwee,Schusler,1986-02-26,1998-02-25,9999-01-01
10067,d006,Quality Management,Senior Engineer,1953-01-07,Claudi,Stavenow,1987-03-04,1996-03-03,9999-01-01
10070,d008,Research,Technique Leader,1955-08-20,Reuven,Garigliano,1985-10-14,1985-10-14,9999-01-01
10072,d005,Development,Senior Engineer,1952-05-15,Hironoby,Sidou,1988-07-21,1995-05-21,9999-01-01
10076,d005,Development,Senior Engineer,1952-06-13,Erez,Ritzmann,1985-07-09,1996-07-15,9999-01-01
10088,d009,Customer Service,Senior Staff,1954-02-25,Jungsoon,Syrzycki,1988-09-02,1993-09-02,9999-01-01
10100,d003,Human Resources,Senior Staff,1953-04-21,Hironobu,Haraldson,1987-09-21,1994-09-21,9999-01-01
10103,d005,Development,Engineer,1953-11-26,Akemi,Birch,1986-12-02,1998-01-12,9999-01-01
10126,d009,Customer Service,Senior Staff,1954-08-07,Kayoko,Valtorta,1985-09-08,1991-09-08,9999-01-01
10129,d005,Development,Technique Leader,1955-12-02,Armond,Peir,1985-12-10,1996-01-16,9999-01-01
10130,d004,Production,Senior Engineer,1955-04-27,Nishit,Casperson,1988-06-21,1988-06-21,9999-01-01
10134,d004,Production,Senior Engineer,1953-04-15,Diederik,Siprelle,1987-12-12,1994-12-12,9999-01-01
